date,shares,amount,open,high,low,close,change,turnover,stockno,month
2019-01-02,32900482,7276419230,226.5,226.5,219.0,219.5,-6.0,12329,2330,1
2019-01-03,34615620,7459051790,214.0,218.0,214.0,215.5,-4.0,14549,2330,1
2019-01-04,67043521,13987136785,211.5,211.5,206.5,208.0,-7.5,28786,2330,1
2019-01-07,35695176,7591116569,212.0,214.0,211.0,213.0,5.0,11224,2330,1
2019-01-08,23794481,5019703557,212.0,212.5,210.0,211.0,-2.0,9377,2330,1
2019-01-09,51255446,11006827093,212.0,216.5,211.0,215.5,4.5,14098,2330,1
2019-01-10,20832593,4491377349,216.0,216.5,214.5,216.0,0.5,6018,2330,1
2019-01-11,28658288,6296719320,219.0,220.5,218.0,220.5,4.5,11198,2330,1
2019-01-14,17612296,3844735324,218.5,220.0,217.0,218.5,-2.0,6469,2330,1
2019-01-15,42990923,9399209983,216.5,221.0,215.5,221.0,2.5,11609,2330,1
2019-01-16,30038282,6563789758,218.5,220.0,217.5,217.5,-3.5,8950,2330,1
2019-01-17,21163986,4646131841,218.0,221.0,218.0,220.5,3.0,8288,2330,1
2019-01-18,52677569,11530053787,219.0,220.0,217.5,218.5,-2.0,15157,2330,1
2019-01-21,32515866,7208829658,220.0,223.0,220.0,221.0,2.5,10549,2330,1
2019-01-22,30958483,6854867566,220.0,223.0,219.0,223.0,2.0,8258,2330,1
2019-01-23,18671213,4121110926,221.5,222.0,220.0,220.5,-2.5,7059,2330,1
2019-01-24,31348924,6958753608,222.5,222.5,220.5,222.5,2.0,6291,2330,1
2019-01-25,48039764,10870045150,226.5,227.0,225.0,226.0,3.5,14979,2330,1
2019-01-28,29134257,6665379096,229.5,229.5,228.0,229.0,3.0,10189,2330,1
2019-01-29,42566520,9486156460,222.5,225.0,222.0,222.5,-6.5,13344,2330,1
2019-01-30,51889945,11453957730,220.5,221.5,220.0,221.0,-1.5,12858,2330,1
2019-02-11,81360106,18546167132,228.0,229.0,226.5,228.0,7.0,21689,2330,2
2019-02-12,30125670,6921488930,230.0,230.0,229.0,230.0,2.0,13313,2330,2
2019-02-13,28634925,6575201825,232.0,232.0,228.5,229.0,-1.0,10230,2330,2
2019-02-14,23647751,5392943977,229.5,230.0,226.0,227.0,-2.0,6873,2330,2
2019-02-15,22369799,5093773373,229.0,229.0,226.5,227.0,0.0,5743,2330,2
2019-02-18,18163916,4169729625,229.0,230.5,228.5,230.0,3.0,7035,2330,2
2019-02-19,18423023,4228108427,230.0,230.5,229.0,229.0,-1.0,6471,2330,2
2019-02-20,31887710,7430197670,231.5,234.5,231.0,234.5,5.5,14241,2330,2
2019-02-21,34013489,8013908284,235.5,236.5,234.5,236.5,2.0,11443,2330,2
2019-02-22,22032163,5187054985,235.5,236.5,234.0,236.5,0.0,6913,2330,2
2019-02-25,25227138,5995746054,237.5,239.0,236.0,238.0,1.5,8527,2330,2
2019-02-26,24586789,5864298571,239.0,240.0,236.5,239.5,1.5,7994,2330,2
2019-02-27,37947889,9052540803,238.5,239.5,237.0,239.0,-0.5,9931,2330,2
2019-03-04,45164513,10691130829,239.5,239.5,234.5,235.5,-3.5,13323,2330,3
2019-03-05,23708407,5533050748,234.0,234.5,232.5,233.0,-2.5,8706,2330,3
2019-03-06,20811226,4872352124,235.0,235.5,233.5,234.0,1.0,7090,2330,3
2019-03-07,17226192,4029782428,235.0,235.0,233.0,234.0,0.0,5768,2330,3
2019-03-08,22535659,5183171608,231.0,231.5,229.0,230.0,-4.0,8931,2330,3
2019-03-11,34282793,7835079913,228.0,230.5,227.5,230.5,0.5,7451,2330,3
2019-03-12,23839972,5601351324,233.0,237.0,232.5,235.5,5.0,9253,2330,3
2019-03-13,22493195,5308051755,234.0,237.0,234.0,237.0,1.5,6269,2330,3
2019-03-14,17281356,4077045380,239.0,239.0,234.0,234.5,-2.5,6564,2330,3
2019-03-15,34542729,8231572752,237.0,239.5,235.5,239.0,4.5,8872,2330,3
2019-03-18,27040532,6493129050,239.5,241.0,239.0,241.0,2.0,10690,2330,3
2019-03-19,14620009,3496720720,239.0,240.5,238.0,240.5,-0.5,7105,2330,3
2019-03-20,23055971,5563557011,242.0,242.0,239.5,242.0,1.5,6757,2330,3
2019-03-21,27514502,6710510004,242.5,245.5,241.0,245.5,3.5,11071,2330,3
2019-03-22,22996467,5680726299,248.0,248.5,244.5,248.5,3.0,10485,2330,3
2019-03-25,19273254,4662705968,240.5,243.5,240.5,241.5,-7.0,8468,2330,3
2019-03-26,21053170,5109273236,243.0,244.0,241.0,244.0,2.5,6630,2330,3
2019-03-27,23622089,5703467700,242.0,242.5,240.5,241.5,-2.5,7603,2330,3
2019-03-28,13998054,3379510718,240.5,242.5,240.0,242.0,0.5,3948,2330,3
2019-03-29,31024810,7568601014,243.0,245.5,240.5,245.5,3.5,6712,2330,3
2019-04-01,35330656,8758161220,251.0,251.0,245.0,245.5,0.0,13292,2330,4
2019-04-02,25189053,6226523038,249.5,249.5,246.0,246.0,0.5,9171,2330,4
2019-04-03,28581323,7075597562,249.0,249.0,246.5,246.5,0.5,8067,2330,4
2019-04-08,46426821,11682512762,251.0,253.0,250.5,253.0,6.5,16430,2330,4
2019-04-09,22745674,5760337782,253.0,254.0,252.0,254.0,1.0,8323,2330,4
2019-04-10,33174934,8403528302,253.0,254.5,252.0,254.0,0.0,9992,2330,4
2019-04-11,25146840,6347861680,253.0,254.0,251.5,252.0,-2.0,8284,2330,4
2019-04-12,13888148,3496444666,251.5,253.0,251.0,252.0,0.0,4931,2330,4
2019-04-15,17257002,4403988510,255.0,256.0,254.0,255.5,3.5,6739,2330,4
2019-04-16,20231648,5185697928,257.0,257.0,255.5,257.0,1.5,7676,2330,4
2019-04-17,39037191,10202504410,260.0,263.0,259.5,261.5,4.5,13486,2330,4
2019-04-18,48525490,12836006732,264.0,266.0,263.5,264.5,3.0,12208,2330,4
2019-04-19,47698699,12712409558,269.0,269.5,263.5,264.5,0.0,14431,2330,4
2019-04-22,24967393,6635995145,266.5,267.5,265.0,266.0,1.5,8527,2330,4
