date,shares,amount,open,high,low,close,change,turnover,stockno,month
2019-01-02,9090984,218260366,24.2,24.2,23.9,24.0,-0.25,3000,2002,1
2019-01-03,8798772,211893353,24.2,24.2,23.95,24.15,0.15,3137,2002,1
2019-01-04,11686747,281940143,24.0,24.2,23.95,24.2,0.05,4206,2002,1
2019-01-07,17477964,426161425,24.35,24.45,24.25,24.45,0.25,6383,2002,1
2019-01-08,13308001,325652362,24.5,24.5,24.4,24.5,0.05,4165,2002,1
2019-01-09,30692140,762144587,24.55,24.95,24.5,24.95,0.45,10121,2002,1
2019-01-10,17399676,432468342,24.8,24.95,24.65,24.9,-0.05,5666,2002,1
2019-01-11,15037926,374579967,24.9,25.0,24.8,24.9,0.0,4837,2002,1
2019-01-14,11155735,277399301,24.9,24.95,24.75,24.9,0.0,3162,2002,1
2019-01-15,21592974,538758509,24.95,25.0,24.85,25.0,0.1,6045,2002,1
2019-01-16,9001230,224199488,25.0,25.0,24.75,24.95,-0.05,3524,2002,1
2019-01-17,11141697,277640305,24.95,25.0,24.75,25.0,0.05,4342,2002,1
2019-01-18,14132947,352979324,25.0,25.0,24.9,25.0,0.0,4598,2002,1
2019-01-21,15480090,387374884,25.0,25.1,24.9,25.05,0.05,4996,2002,1
2019-01-22,11401106,285154548,25.0,25.05,24.95,25.05,0.0,4593,2002,1
2019-01-23,9863832,246847370,25.05,25.1,25.0,25.05,0.0,3201,2002,1
2019-01-24,12012452,300842284,24.95,25.1,24.95,25.1,0.05,4872,2002,1
2019-01-25,24230251,612764621,25.15,25.4,25.1,25.35,0.25,7217,2002,1
2019-01-28,12035746,304772254,25.35,25.35,25.25,25.35,0.0,4802,2002,1
2019-01-29,12861505,324664575,25.2,25.35,25.05,25.35,0.0,4717,2002,1
2019-01-30,23076576,586638791,25.4,25.45,25.35,25.45,0.1,7026,2002,1
2019-02-11,21942331,557281327,25.5,25.5,25.25,25.25,-0.2,7521,2002,2
2019-02-12,17651168,447915174,25.35,25.45,25.25,25.45,0.2,5281,2002,2
2019-02-13,15016250,382269801,25.5,25.5,25.4,25.5,0.05,4705,2002,2
2019-02-14,14794447,374119401,25.25,25.5,25.2,25.2,-0.3,5749,2002,2
2019-02-15,11210043,282669926,25.2,25.35,25.15,25.2,0.0,3447,2002,2
2019-02-18,7415642,186873283,25.25,25.35,25.1,25.15,-0.05,3508,2002,2
2019-02-19,9531517,238546575,25.1,25.15,24.95,25.0,-0.15,3992,2002,2
2019-02-20,13209657,332510946,25.05,25.2,25.0,25.2,0.2,4216,2002,2
2019-02-21,11326770,284874667,25.15,25.25,25.05,25.25,0.05,4000,2002,2
2019-02-22,9850645,248162717,25.2,25.25,25.1,25.25,0.0,3231,2002,2
2019-02-25,12488120,315936273,25.4,25.4,25.15,25.3,0.05,3955,2002,2
2019-02-26,19625224,497864004,25.3,25.5,25.2,25.5,0.2,5868,2002,2
2019-02-27,18464364,470236949,25.5,25.5,25.35,25.5,0.0,3719,2002,2
2019-03-04,21278463,539222729,25.4,25.5,25.2,25.35,-0.15,6496,2002,3
2019-03-05,17636678,446112934,25.25,25.4,25.2,25.4,0.05,3874,2002,3
2019-03-06,20853866,523943154,25.35,25.35,25.05,25.15,-0.25,7309,2002,3
2019-03-07,20514563,511884325,25.1,25.2,24.8,24.95,-0.2,8405,2002,3
2019-03-08,12279407,304455462,24.85,24.9,24.75,24.75,-0.2,5727,2002,3
2019-03-11,10418186,257891708,24.75,24.85,24.7,24.7,-0.05,3980,2002,3
2019-03-12,11229932,281182500,24.9,25.1,24.85,25.1,0.4,4364,2002,3
2019-03-13,10271064,255774550,25.05,25.05,24.8,25.0,-0.1,4025,2002,3
2019-03-14,11966156,296620209,24.8,24.9,24.75,24.75,-0.25,4480,2002,3
2019-03-15,18973414,474438917,24.75,25.05,24.75,25.05,0.3,3598,2002,3
2019-03-18,6905958,172610650,24.85,25.05,24.85,25.05,0.0,2532,2002,3
2019-03-19,7753335,193322832,25.0,25.05,24.85,24.85,-0.2,3756,2002,3
2019-03-20,8528594,213065015,24.85,25.05,24.85,25.05,0.2,2570,2002,3
2019-03-21,6908687,172776825,25.05,25.05,24.95,25.0,-0.05,2056,2002,3
2019-03-22,7955294,199005050,25.0,25.1,24.95,25.0,0.0,2474,2002,3
2019-03-25,6529353,162541361,24.8,25.0,24.8,24.85,-0.15,2189,2002,3
2019-03-26,6937761,173237625,24.9,25.0,24.9,25.0,0.15,2872,2002,3
2019-03-27,6438966,161116000,25.0,25.05,25.0,25.05,0.05,2870,2002,3
2019-03-28,9464921,236461575,25.0,25.05,24.9,25.0,-0.05,2542,2002,3
2019-03-29,15313412,385534308,25.0,25.3,24.9,25.3,0.3,4391,2002,3
2019-04-01,13441842,336749350,25.25,25.25,25.0,25.0,-0.3,7319,2002,4
2019-04-02,14208067,354281881,25.0,25.05,24.9,24.9,-0.1,6029,2002,4
2019-04-03,7325060,183221000,25.0,25.1,24.95,25.0,0.1,2772,2002,4
2019-04-08,9137934,228805350,25.0,25.1,25.0,25.1,0.1,3953,2002,4
2019-04-09,10204179,255640375,25.05,25.2,25.0,25.1,0.0,3654,2002,4
2019-04-10,13291458,334690753,25.0,25.25,25.0,25.25,0.15,4690,2002,4
2019-04-11,7306358,183282006,25.2,25.2,25.05,25.05,-0.2,3195,2002,4
2019-04-12,8132079,204251628,25.2,25.2,25.05,25.2,0.15,2833,2002,4
2019-04-15,7126967,179044493,25.2,25.2,25.05,25.05,-0.15,2834,2002,4
2019-04-16,10237134,257597602,25.15,25.2,25.05,25.2,0.15,4014,2002,4
2019-04-17,8426283,212323111,25.15,25.25,25.1,25.25,0.05,3780,2002,4
2019-04-18,12979498,325622041,25.05,25.15,25.0,25.1,-0.15,2922,2002,4
2019-04-19,3999385,100559105,25.1,25.2,25.05,25.2,0.1,2049,2002,4
2019-04-22,3068957,77008695,25.15,25.15,25.05,25.1,-0.1,1517,2002,4
2019-04-23,5406013,135713019,25.05,25.15,25.05,25.15,0.05,1989,2002,4
2019-04-24,5783700,144945246,25.1,25.1,25.0,25.1,-0.05,2369,2002,4
2019-04-25,6795483,170126075,25.1,25.1,25.0,25.0,-0.1,2877,2002,4
2019-04-26,6713917,168122475,25.0,25.1,25.0,25.1,0.1,2902,2002,4
2019-04-29,8357769,209506325,25.1,25.1,25.0,25.1,0.0,2532,2002,4
2019-04-30,17558136,438148723,25.05,25.05,24.9,24.95,-0.15,5742,2002,4
2019-05-02,11328479,282981254,24.95,25.05,24.9,24.9,-0.05,3599,2002,5
2019-05-03,8451368,211632800,24.95,25.1,24.95,25.1,0.2,2936,2002,5
2019-05-06,14546858,362696800,25.0,25.05,24.8,25.0,-0.1,4516,2002,5
2019-05-07,12469170,312327300,25.0,25.1,24.95,25.1,0.1,2888,2002,5
2019-05-08,11887079,297252075,25.0,25.05,24.9,25.05,-0.05,3165,2002,5
2019-05-09,18817855,466932101,24.9,24.95,24.7,24.7,-0.35,6677,2002,5
